LAD23CD,borough_total_area,borough_area_covered,area_coverage_rate,borough_total_area_km2,borough_area_covered_km2
E06000001,93289508.55652036,39706714.7094518,0.4256289407441256,93.28950855652036,39.7067147094518
E06000002,42310611.65323347,35279384.5367804,0.8338188260174744,42.310611653233465,35.279384536780405
E06000003,244853522.2168867,76036498.23617834,0.31053871534192845,244.8535222168867,76.03649823617833
E06000004,196045303.6207076,89053314.16948435,0.4542486482704906,196.0453036207076,89.05331416948435
E06000005,194123791.40294394,52116062.09473116,0.2684681857802454,194.12379140294394,52.11606209473116
E06000006,77986600.01283447,51994402.10133504,0.6667094358874239,77.98660001283447,51.99440210133504
E06000007,176281106.36271966,127193532.56663074,0.7215380887439785,176.28110636271967,127.19353256663074
E06000008,137051151.54388696,32511559.710000474,0.23722208346122153,137.05115154388696,32.511559710000476
E06000009,34906154.0873369,27849125.668149352,0.7978285318534228,34.9061540873369,27.84912566814935
E06000010,67003888.67756934,62873503.06234129,0.9383560313177649,67.00388867756934,62.873503062341285
E06000011,2328382399.8008957,126371234.54074176,0.05427426120019976,2328.3823998008957,126.37123454074175
E06000012,174447734.33866325,69769955.4291178,0.3999476157923051,174.44773433866325,69.7699554291178
E06000013,845175792.3724676,143954601.3133351,0.17032504079328212,845.1757923724676,143.9546013133351
E06000014,265679799.96641248,58337516.90601402,0.2195782927922601,265.6797999664125,58.33751690601402
E06000015,77133742.46056543,63288571.42399121,0.8205043526359096,77.13374246056543,63.28857142399121
E06000016,66408474.3578967,56766146.96302623,0.8548027569056194,66.4084743578967,56.76614696302623
E06000017,387306134.08087164,30470193.58903264,0.07867211724219761,387.30613408087163,30.47019358903264
E06000018,70045290.75304888,62704407.450619735,0.8951980465280656,70.04529075304889,62.70440745061973
E06000019,2167564910.852469,56252838.83821755,0.02595208962673888,2167.564910852469,56.25283883821755
E06000020,283159386.04443026,54701693.29245048,0.1931834012518564,283.1593860444303,54.70169329245048
E06000021,87748251.14730303,64577875.28520981,0.735944870021431,87.74825114730302,64.57787528520981
E06000022,314190087.5958811,127693271.4800988,0.40642043311162945,314.1900875958811,127.6932714800988
E06000023,107813142.00106311,107112725.08715738,0.9935034180350776,107.81314200106311,107.11272508715739
E06000024,355353669.4001523,136051163.04900396,0.3828612865561862,355.35366940015234,136.05116304900395
E06000025,477441871.70072025,157634714.0022539,0.3301652480557165,477.44187170072024,157.6347140022539
E06000026,74461080.18632835,65095927.388169125,0.8742275457900389,74.46108018632835,65.09592738816913
E06000027,57709968.717070535,39239066.90003503,0.6799356813449141,57.70996871707054,39.239066900035034
E06000030,174439051.1312841,50049464.53515193,0.28691662910665766,174.4390511312841,50.04946453515193
E06000031,326851739.857792,100861047.11723062,0.3085834793509548,326.85173985779204,100.86104711723063
E06000032,42293708.698816605,41509635.65272448,0.9814612369022615,42.2937086988166,41.509635652724484
E06000033,41397494.03604261,38192385.6812384,0.9225772373561141,41.39749403604261,38.1923856812384
E06000034,154921381.61040533,66205118.01232809,0.4273465503865698,154.92138161040532,66.20511801232809
E06000035,185347979.81906825,57108009.88417742,0.30811239453445743,185.34797981906826,57.10800988417741
E06000036,79009977.52667966,25903232.991389636,0.32784761877248697,79.00997752667966,25.903232991389636
E06000037,683041313.9618673,46094455.65470196,0.06748413999636238,683.0413139618673,46.09445565470196
E06000038,37026177.27913329,28629382.25108766,0.7732200393050627,37.02617727913329,28.629382251087662
E06000039,30079255.156917162,22309620.836780116,0.7416945905207927,30.079255156917164,22.309620836780116
E06000040,198393557.91004738,46013642.95694934,0.231931134466635,198.39355791004738,46.01364295694934
E06000041,124313440.50451507,37923203.2295236,0.3050611669632475,124.31344050451507,37.9232032295236
E06000042,266752597.77889442,99959816.40507363,0.3747285583622627,266.7525977788944,99.95981640507362
E06000043,82813695.10460344,42666013.518461876,0.5152048035602044,82.81369510460344,42.666013518461874
E06000044,40339020.8190955,34163644.54963254,0.8469130845501415,40.3390208190955,34.163644549632544
E06000045,47641972.80330735,44000452.08864717,0.9235648630736933,47.64197280330735,44.00045208864717
E06000046,380245683.49545974,50547945.92295343,0.1329349631487848,380.24568349545973,50.547945922953424
E06000047,1876593923.5631092,306089645.74661326,0.1631091531861286,1876.5939235631092,306.08964574661326
E06000049,884371166.135912,116769955.35330695,0.13203727102898502,884.371166135912,116.76995535330695
E06000050,899746595.8935804,105341962.93722166,0.11707959042912702,899.7465958935804,105.34196293722167
