LAD23CD,borough_total_area,borough_area_covered,area_coverage_rate,borough_total_area_km2,borough_area_covered_km2,borough_pop,cov_pop,coverage_rate,pop_density_km2,served_pop_density_km2,served_pop_over_total_km2,cov_pop_share
E06000001,93289508.55652036,39706714.7094518,0.4256289407441256,93.28950855652036,39.7067147094518,90624.0,81852.73508303489,0.9032125605031216,971.4275635303038,2061.433077049576,877.4055769995144,0.9032125605031216
E06000002,42310611.65323347,35279384.5367804,0.8338188260174744,42.310611653233465,35.279384536780405,132109.0,126664.4250508246,0.9587872518210312,3122.360912263105,3590.3241146049763,2993.67983826215,0.9587872518210312
E06000003,244853522.2168867,76036498.23617834,0.3105387153419284,244.8535222168867,76.03649823617833,136605.0,109103.51531824873,0.7986787842190894,557.9049823877879,1434.8834816059039,445.586873043251,0.7986787842190896
E06000004,196045303.6207076,89053314.16948435,0.4542486482704906,196.0453036207076,89.05331416948435,182708.0,165053.5216731748,0.903373260465742,931.968257467103,1853.4236845924509,841.915203398633,0.9033732604657421
E06000005,194123791.4029439,52116062.09473116,0.2684681857802454,194.1237914029439,52.11606209473116,100673.0,89043.38834111039,0.8844813240999115,518.6020697021751,1708.559410710206,458.6938452911343,0.8844813240999115
E06000006,77986600.01283447,51994402.10133504,0.6667094358874239,77.98660001283447,51.99440210133504,126019.0,106983.64407842272,0.8489485242576335,1615.9058091936397,2057.599275204969,1371.8208520542776,0.8489485242576335
E06000007,176281106.36271966,127193532.56663074,0.7215380887439785,176.28110636271967,127.19353256663074,197670.0,166070.7936800779,0.8401416182530375,1121.3340106526794,1305.6543861071018,942.0793703119108,0.8401416182530375
E06000008,137051151.54388696,32511559.71000047,0.2372220834612215,137.05115154388696,32.511559710000476,154954.0,116578.74729782956,0.7523442266597156,1130.6289531641048,3585.762982080808,850.6221654073321,0.7523442266597155
E06000009,34906154.0873369,27849125.668149352,0.7978285318534228,34.9061540873369,27.84912566814935,140976.0,127176.35191876673,0.9021134939192964,4038.7147678106035,4566.619197823381,3643.3790901330835,0.9021134939192964
E06000010,67003888.67756934,62873503.06234129,0.9383560313177648,67.00388867756934,62.873503062341285,248846.0,241285.66440575893,0.9696184162323644,3713.9038481404637,3837.6367253867775,3601.0695672732395,0.9696184162323643
E06000011,2328382399.8008957,126371234.54074176,0.0542742612001997,2328.3823998008957,126.37123454074175,329359.0,159010.87287419758,0.4827889108061343,141.45399829004208,1258.283765700911,68.2924217636222,0.4827889108061343
E06000012,174447734.33866325,69769955.4291178,0.3999476157923051,174.44773433866325,69.7699554291178,142437.0,128706.38633476182,0.9036021984088533,816.5024357580972,1844.7250760468091,737.7933959572,0.9036021984088531
E06000013,845175792.3724676,143954601.3133351,0.1703250407932821,845.1757923724676,143.9546013133351,165905.0,92879.35083711674,0.5598345489112247,196.29644092655926,645.198902916297,109.89352945899917,0.5598345489112247
E06000014,265679799.96641248,58337516.90601402,0.2195782927922601,265.6797999664125,58.33751690601402,198770.0,150391.0560359739,0.7566084219750158,748.1562392968103,2577.9475029467712,566.061311605122,0.7566084219750158
E06000015,77133742.46056543,63288571.42399121,0.8205043526359096,77.13374246056543,63.28857142399121,258132.0,234326.0784130616,0.9077761703820588,3346.5509615583583,3702.502255000088,3037.919215871843,0.9077761703820588
E06000016,66408474.3578967,56766146.96302623,0.8548027569056194,66.4084743578967,56.76614696302623,334933.0,317385.88401272084,0.9476100713059652,5043.528002088077,5591.11197417442,4779.297929692315,0.9476100713059652
E06000017,387306134.0808717,30470193.58903264,0.0786721172421976,387.3061340808716,30.47019358903264,34571.0,7211.676405102101,0.2086047960748055,89.26014064311563,236.67970418467746,18.620093436465595,0.2086047960748055
E06000018,70045290.75304888,62704407.450619735,0.8951980465280656,70.04529075304889,62.70440745061973,294955.0,284102.53739308263,0.9632063785766732,4210.9183476715225,4530.822456408919,4055.9834121427557,0.9632063785766731
E06000019,2167564910.852469,56252838.83821755,0.0259520896267388,2167.564910852469,56.25283883821755,184408.0,71283.87328196524,0.3865552106305867,85.0761142500112,1267.2049047511496,32.88661526354494,0.38655521063058673
E06000020,283159386.04443026,54701693.29245048,0.1931834012518564,283.1593860444303,54.70169329245048,167625.0,115415.84864640656,0.6885360098219631,591.9810829569255,2109.9136370306,407.6002927492461,0.6885360098219631
E06000021,87748251.14730303,64577875.28520981,0.735944870021431,87.74825114730302,64.57787528520981,246264.0,206219.64265018067,0.8373925650934796,2806.4832834855765,3193.3482131365645,2350.1282356499582,0.8373925650934796
E06000022,314190087.5958811,127693271.4800988,0.4064204331116294,314.1900875958811,127.6932714800988,182297.0,153377.21949770473,0.8413589883415785,580.2124484413233,1201.137833809895,488.166958643782,0.8413589883415785
E06000023,107813142.00106312,107112725.08715738,0.9935034180350776,107.81314200106311,107.1127250871574,457431.0,457054.60646044347,0.9991771577799567,4242.8129957986885,4267.043024893065,4239.3218301339975,0.9991771577799569
E06000024,355353669.4001523,136051163.04900396,0.3828612865561862,355.35366940015234,136.05116304900395,206689.0,162312.30524431367,0.7852972593815524,581.6430722353233,1193.02401836764,456.76271056466567,0.7852972593815524
E06000025,477441871.70072025,157634714.0022539,0.3301652480557165,477.44187170072024,157.6347140022539,262144.0,223256.12636271343,0.8516545347698725,549.059509728804,1416.2878257864018,467.6090213190588,0.8516545347698724
E06000026,74461080.18632835,65095927.388169125,0.8742275457900389,74.46108018632835,65.09592738816913,256725.0,242509.84499808817,0.9446288635625208,3447.7743185779996,3725.4226912229715,3256.8671363783806,0.9446288635625208
E06000027,57709968.717070535,39239066.90003503,0.6799356813449141,57.70996871707054,39.239066900035034,133396.0,121178.28268824864,0.9084101673831948,2311.4897298591263,3088.2050023503602,2099.7807724058644,0.9084101673831947
E06000030,174439051.1312841,50049464.53515193,0.2869166291066576,174.4390511312841,50.04946453515193,210994.0,174947.89477696433,0.8291605200951891,1209.5571412000195,3495.4998300549405,1002.9170282822582,0.8291605200951891
E06000031,326851739.857792,100861047.11723062,0.3085834793509548,326.85173985779204,100.86104711723064,191400.0,172931.7960711952,0.9035099063280836,585.5866029144439,1714.5548357255982,529.08329674621,0.9035099063280836
E06000032,42293708.698816605,41509635.65272448,0.9814612369022616,42.2937086988166,41.50963565272448,214253.0,213333.70249987792,0.9957092899510296,5065.836186789524,5139.377861194882,5044.100152556427,0.9957092899510295
E06000033,41397494.03604261,38192385.6812384,0.922577237356114,41.39749403604261,38.1923856812384,177406.0,174440.26626662837,0.9832827878799384,4285.428481384452,4567.4095282379885,4213.788064435796,0.9832827878799385
E06000034,154921381.61040533,66205118.01232809,0.4273465503865698,154.92138161040532,66.20511801232809,168480.0,144405.9331654264,0.8571102395858642,1087.5193485150537,2181.189876265102,932.1239693600005,0.8571102395858642
E06000035,185347979.81906825,57108009.88417742,0.3081123945344574,185.34797981906823,57.10800988417741,259647.0,219016.8295726369,0.8435176588700694,1400.8623145148952,3835.133285450359,1181.652099938911,0.8435176588700694
E06000036,79009977.52667966,25903232.991389636,0.3278476187724869,79.00997752667966,25.903232991389636,105751.0,82580.23237767094,0.7808931582459829,1338.4512097132363,3188.028011990666,1045.1873923111254,0.7808931582459829
E06000037,683041313.9618673,46094455.65470196,0.0674841399963623,683.0413139618673,46.09445565470196,151280.0,75172.83806370986,0.4969119385491133,221.48001432376844,1630.8433844373146,110.05606326750916,0.4969119385491133
E06000038,37026177.27913329,28629382.25108766,0.7732200393050627,37.02617727913329,28.629382251087662,165239.0,142144.41576177685,0.8602352698925608,4462.761541767995,4964.983684074309,3839.024879348932,0.8602352698925608
