LSOA11CD,Total
E01012246,"1,269"
E01012247,"1,116"
E01012248,"1,252"
E01012249,"1,592"
E01012250,"1,969"
E01012251,"1,514"
E01012252,"1,608"
E01012253,"1,172"
E01012254,"1,317"
E01012255,"1,365"
E01012256,"1,242"
E01012257,"1,388"
E01012258,"2,177"
E01012259,"1,554"
E01012260,"1,590"
E01012261,"1,360"
E01012262,"2,659"
E01012267,"1,740"
E01012268,"2,089"
E01012269,"1,586"
E01012270,"1,354"
E01012271,"1,422"
E01012272,"1,058"
E01012273,"1,541"
E01012274,"1,304"
E01012275,"1,543"
E01012276,"1,703"
E01012277,"1,679"
E01012278,"1,188"
E01012279,"1,667"
E01012280,"1,538"
E01012281,"1,295"
E01012282,"1,174"
E01012283,"1,205"
E01012284,"1,414"
E01012285,"1,242"
E01012286,"1,080"
E01012287,"1,843"
E01012288,"1,239"
E01012289,"1,188"
E01012290,"1,889"
E01012291,"1,881"
E01012292,"2,063"
E01012294,"1,372"
E01012295,"1,414"
E01012296,"1,150"
E01012297,"2,464"
E01012298,"1,296"
E01012299,"1,258"
E01012300,"1,423"
E01012301,"1,275"
E01012302,"1,186"
E01012303,"2,098"
E01032542,"1,890"
E01032543,"2,207"
E01032544,"2,058"
E01033474,"2,746"
E01033475,"1,913"
E01033476,"1,922"
E01033479,"1,799"
E01033480,"2,938"
E01035197,"1,610"
E01035198,"1,589"
E01035199,"1,178"
E01035200,"2,074"
E01035201,"1,693"
E01035202,"1,985"
E01035203,"1,684"
E01035204,"2,511"
E01012304,"1,048"
E01012305,"1,071"
E01012306,"1,419"
E01012307,"2,246"
E01012309,"1,943"
E01012310,"2,159"
E01012311,"1,483"
E01012312,"1,361"
E01012313,"1,440"
E01012314,"1,350"
E01012315,"1,645"
E01012317,"1,317"
E01012318,"2,374"
E01012319,"2,732"
E01012323,"1,423"
E01012324,"1,323"
E01012325,"1,383"
E01012326,"1,104"
E01012327,"1,640"
E01012328,"1,493"
E01012329,"1,721"
E01012330,"1,062"
E01012331,"1,141"
E01012332,"1,418"
E01012333,"1,640"
E01012334,"2,738"
E01012335,"1,546"
E01012336,"1,655"
E01012337,"1,848"
E01012338,"2,155"
E01012339,"1,962"
E01012340,"2,309"
E01012341,"1,660"
E01012342,"2,717"
E01012344,"1,456"
E01012345,"1,592"
E01012346,"2,277"
E01012347,"1,715"
E01012348,"2,145"
E01012349,"1,447"
E01012350,"1,376"
E01012351,"1,338"
E01012352,"1,456"
E01012353,"1,502"
E01012354,"1,518"
E01012355,"1,399"
E01012356,"1,602"
E01012357,"1,316"
E01012358,"1,592"
E01012359,"1,788"
E01012360,"1,798"
E01012361,"1,904"
E01012362,"1,215"
E01012363,"1,247"
E01012364,"1,348"
E01012365,"1,196"
E01012366,"1,971"
E01032545,"1,747"
E01032546,"1,760"
E01033481,"1,774"
E01033482,"1,668"
E01035183,"1,521"
E01035184,"1,320"
E01035185,"1,500"
E01035186,"1,134"
E01035187,"2,062"
E01012367,"1,839"
E01012368,"2,053"
E01012369,"1,752"
E01012370,"1,857"
E01012371,"1,196"
E01012372,"1,108"
E01012373,"1,217"
E01012374,"2,730"
E01012375,"1,476"
E01012376,"2,774"
E01012377,"1,721"
E01012378,"1,558"
E01012379,"1,695"
E01012380,"1,475"
E01012381,"1,699"
E01012382,"1,615"
E01012383,"1,556"
E01012384,"1,603"
E01012385,"2,090"
E01012386,"2,663"
E01012387,"1,061"
E01012388,"1,757"
E01012389,"1,722"
E01012390,"1,591"
E01012391,"2,139"
E01012392,"2,924"
E01012393,"2,915"
E01012394,"1,918"
E01012395,"1,653"
E01012396,"1,433"
E01012397,"1,619"
E01012398,"1,138"
E01012399,"1,321"
E01012400,"1,170"
E01012401,"1,830"
E01012402,"1,510"
E01012403,"1,822"
E01012404,"1,367"
E01012405,"2,102"
E01012406,"1,399"
E01012407,"1,681"
E01012408,"1,787"
E01012409,"1,316"
E01012410,"1,082"
E01012411,"1,319"
E01012412,"1,743"
E01012413,"1,432"
E01012414,"1,117"
E01012415,"1,330"
E01012416,"1,857"
E01012417,"1,192"
E01012418,"1,426"
E01012419,"1,094"
E01012420,"1,419"
E01012421,"1,248"
E01012422,"1,465"
E01012423,"1,281"
E01012424,"1,894"
E01012425,"1,541"
E01012426,"1,321"
E01012427,"1,820"
E01012429,"1,409"
E01012430,"1,594"
E01012431,"2,165"
E01012432,"1,303"
E01012433,"1,565"
E01012434,"1,452"
E01012435,"2,029"
E01012436,"1,231"
E01012437,"1,283"
E01012438,"1,083"
E01012439,"1,430"
E01012440,"1,139"
E01012441,"2,236"
E01012442,"1,469"
E01012443,"1,481"
E01012444,"1,490"
E01012445,"1,227"
E01035382,"1,263"
E01035383,"1,288"
E01012446,"1,274"
E01012447,"1,344"
E01012448,"1,632"
E01012449,"1,446"
E01012450,"1,418"
E01012451,"1,545"
E01012452,"1,794"
E01012453,"1,848"
E01012454,"2,643"
E01012455,"2,081"
E01012457,"1,678"
E01012458,"2,664"
E01012459,"1,469"
E01012460,"1,422"
E01012461,"1,191"
E01012462,"1,244"
E01012463,"1,043"
E01012464,"1,379"
E01012465,"1,191"
E01012466,"1,533"
E01012467,"1,190"
E01012468,"2,434"
E01012469,"1,504"
E01012470,"1,196"
E01012471,"2,207"
E01012472,"1,865"
E01012473,"1,610"
E01012474,"1,414"
E01012475,"1,495"
E01012476,"1,578"
E01012477,"1,614"
E01012478,"2,208"
E01012479,"1,672"
E01012480,"2,290"
E01012481,"1,515"
E01012482,"1,633"
E01012483,"1,677"
E01012485,"1,565"
E01012486,"1,471"
E01012487,"1,522"
E01012488,"1,871"
E01012489,"1,833"
E01012490,"1,443"
E01012491,"1,385"
E01012492,"1,355"
E01012493,"1,663"
E01012494,"1,894"
E01012495,"1,636"
E01012496,"1,400"
E01012497,"1,203"
E01012498,"1,535"
E01012499,"1,813"
E01012500,"1,382"
E01012501,"1,383"
E01012502,"1,599"
E01012503,"1,822"
E01012505,"1,404"
E01012506,"1,618"
E01012507,"1,827"
E01012508,"1,706"
E01012509,"2,247"
E01012510,"2,234"
E01012511,"1,587"
E01012512,"1,519"
E01012513,"2,040"
E01012514,"1,866"
E01012515,"1,538"
E01012516,"1,347"
E01012517,"2,340"
E01012518,"2,101"
E01012519,"1,536"
E01012520,"1,654"
E01012521,"1,563"
E01012522,"1,394"
E01012523,"1,410"
E01012524,"1,475"
E01012525,"1,497"
E01012526,"1,720"
E01012527,"1,459"
E01012528,"1,181"
E01012529,"1,386"
E01012530,"1,363"
E01012531,"1,482"
E01012532,"1,313"
E01012533,"1,480"
E01012534,"1,480"
E01012535,"1,813"
E01012536,"1,531"
E01012537,"1,582"
E01012538,"1,324"
E01012539,"1,547"
E01012540,"1,327"
E01012541,"1,169"
E01012542,"1,341"
E01012543,"1,339"
E01012544,"1,437"
E01012545,"1,607"
E01012546,"1,603"
E01012547,"1,626"
E01012548,"1,798"
E01012549,"1,760"
E01012550,"1,666"
E01012551,"1,543"
E01012552,"1,378"
E01012553,"1,216"
E01012554,"2,015"
E01012555,"1,315"
E01012556,"1,429"
E01012557,"1,489"
E01012558,"1,701"
E01012559,"1,518"
E01012560,"1,514"
E01012561,"1,503"
E01012562,"2,270"
E01012563,"1,705"
E01012564,"1,305"
E01012566,"2,113"
E01012569,"1,780"
E01012570,"1,160"
E01033299,"2,428"
E01033300,"1,591"
E01033302,"1,651"
E01033303,"1,093"
E01035384,"1,236"
E01035385,"1,592"
E01035386,"1,539"
E01035387,"1,477"
E01035388,"1,578"
E01035389,"1,510"
E01035390,"1,473"
E01035391,"1,700"
E01035392,"1,407"
E01012571,"1,789"
E01012572,"1,430"
E01012573,"1,791"
E01012574,"1,453"
E01012575,"1,286"
E01012576,"1,785"
E01012577,"2,045"
E01012578,"2,023"
E01012579,"1,770"
E01012580,"2,213"
E01012581,"1,347"
E01012582,"1,671"
E01012583,"2,029"
