LAD23CD,borough_pop,cov_pop,coverage_rate
0,2961310.0,1489091.1371089916,0.502848785540518
E06000001,90624.0,81852.73508303489,0.9032125605031216
E06000002,132109.0,126664.4250508246,0.9587872518210312
E06000003,136605.0,109103.51531824871,0.7986787842190894
E06000004,182708.0,165053.5216731748,0.9033732604657421
E06000005,100673.0,89043.38834111039,0.8844813240999115
E06000006,126019.0,106983.64407842272,0.8489485242576335
E06000007,197670.0,166070.7936800779,0.8401416182530375
E06000008,154954.0,116578.74729782957,0.7523442266597156
E06000009,140976.0,127176.35191876673,0.9021134939192964
E06000010,248846.0,241285.66440575893,0.9696184162323643
E06000011,329359.0,159010.87287419758,0.4827889108061343
E06000012,142437.0,128706.38633476182,0.9036021984088531
E06000013,165905.0,92879.35083711674,0.5598345489112247
E06000014,198770.0,150391.0560359739,0.7566084219750158
E06000015,258132.0,234326.07841306162,0.9077761703820589
E06000016,334933.0,317385.88401272084,0.9476100713059652
E06000017,34571.0,7211.676405102101,0.2086047960748055
E06000018,294955.0,284102.53739308263,0.9632063785766731
E06000019,184408.0,71283.87328196524,0.38655521063058673
E06000020,167625.0,115415.84864640656,0.6885360098219631
E06000021,246264.0,206219.64265018067,0.8373925650934796
E06000022,182297.0,153377.21949770473,0.8413589883415785
E06000023,457431.0,457054.60646044347,0.9991771577799569
E06000024,206689.0,162312.30524431367,0.7852972593815524
E06000025,262144.0,223256.12636271346,0.8516545347698725
E06000026,256725.0,242509.84499808814,0.9446288635625207
E06000027,133396.0,121178.28268824864,0.9084101673831947
E06000030,210994.0,174947.89477696433,0.8291605200951891
E06000031,191400.0,172931.7960711952,0.9035099063280836
E06000032,214253.0,213333.70249987792,0.9957092899510295
E06000033,177406.0,174440.26626662837,0.9832827878799385
E06000034,168480.0,144405.9331654264,0.8571102395858642
E06000035,259647.0,219016.8295726369,0.8435176588700694
E06000036,105751.0,82580.23237767094,0.7808931582459829
E06000037,151280.0,75172.83806370986,0.4969119385491133
E06000038,165239.0,142144.41576177685,0.8602352698925608
E06000039,145369.0,127736.57383447947,0.8787057339218091
E06000040,153922.0,97012.83537764319,0.6302727055108639
E06000041,150405.0,97559.50594616465,0.6486453638254356
E06000042,246972.0,225306.39614605196,0.9122750601122879
E06000043,276454.0,240169.44282049537,0.8687501096764575
E06000044,207119.0,195824.87993789322,0.9454703814613493
E06000045,236467.0,226459.41870103992,0.9576787403783188
E06000046,140885.0,75356.88510793727,0.5348822451498546
E06000047,480020.0,318928.6774420927,0.6644070610434829
E06000049,369183.0,230662.2761022839,0.6247911634671258
E06000050,334045.0,196679.7315630756,0.5887821448100573
E06000051,298831.0,112339.38922885779,0.37592950272514497
E06000052,537699.0,264092.1096789492,0.4911523169634855
E06000053,2271.0,166.65660644813366,0.07338467919336576
E06000054,452785.0,274011.57546599343,0.605169286672468
E06000055,149866.0,116484.25867788953,0.7772560732780587
E06000056,252285.0,144485.43610956654,0.5727072006245577
E06000057,307687.0,185719.99316438093,0.6036003898909637
E06000058,379199.0,371669.95598163863,0.9801448737513512
E06000059,362669.0,230190.66193498197,0.6347128150875371
E06000060,515883.0,272561.48970195994,0.5283397392469997
E06000061,328476.0,242257.29838679594,0.7375190223541322
E06000062,390935.0,278034.8696434383,0.7112048541149765
E06000063,260174.0,111832.0109893524,0.4298354600742288
E06000064,217398.0,83444.75410227272,0.38383404678181365
E06000065,568333.0,222345.026248346,0.391223149541459
E06000066,531988.0,317329.151416977,0.5964968221406818
E07000008,100404.0,96072.08815772789,0.9568551866233207
E07000009,79882.0,23167.202728066004,0.29001781037112245
E07000010,99660.0,60084.68513117405,0.6028967000920534
E07000011,164484.0,91158.0251478565,0.5542060330965717
E07000012,150681.0,56315.09784691393,0.373737218673316
E07000032,122401.0,56634.18706830302,0.4626938265888597
E07000033,74612.0,30090.39073237013,0.40329157149480155
E07000034,103673.0,84608.80407885702,0.8161122382766682
E07000035,71659.0,12258.85902762231,0.17107214763843076
E07000036,113039.0,72339.48619382671,0.6399515759501297
E07000037,91079.0,36882.136159341055,0.40494665245930517
E07000038,99795.0,40775.937046448315,0.4085969943028039
E07000039,94380.0,37054.03114454151,0.39260469532254194
E07000040,135303.0,69453.45399011807,0.5133179160116041
E07000041,113608.0,107685.82322550431,0.9478718331940031
E07000042,80080.0,27149.476914214953,0.3390294319956912
E07000043,96374.0,46528.80351938379,0.4827941511132027
E07000044,89161.0,27543.37956920109,0.30891734692523737
E07000045,128095.0,69936.18211977652,0.545971209803478
E07000046,66024.0,27583.79588561844,0.4177843797046292
E07000047,54119.0,15695.810307137352,0.2900240268138242
E07000061,99344.0,84948.58801198976,0.8550953053228153
E07000062,90974.0,82351.2507759217,0.9052174332877712
E07000063,100166.0,52210.69341662107,0.5212416729890489
E07000064,93409.0,40160.49669167694,0.4299424754753497
E07000065,150078.0,63220.98871532661,0.42125420591510154
E07000066,180994.0,155049.43210911955,0.8566550941419028
E07000067,152862.0,90295.31388951476,0.5906982369033165
E07000068,71887.0,44352.22874856992,0.6169714795243914
E07000069,89712.0,79036.37592925102,0.8810011584765809
E07000070,162858.0,125040.96799931453,0.7677913765324057
E07000071,160214.0,118030.2019898452,0.7367034216101289
E07000072,134941.0,62958.33772777859,0.46656196210031486
E07000073,84643.0,75929.18869055356,0.8970521920365956
E07000074,63278.0,27501.450286448722,0.4346131402137982
E07000075,86181.0,63394.70355002967,0.7355995352807425
E07000076,148925.0,101820.03145101458,0.6837000601041772
E07000077,84807.0,24066.70698493427,0.2837820814901396
E07000078,113338.0,95150.9747342777,0.8395328551260627
